Product Name,Price,Rating,Discount,Reviews,Storage,Processor,Camera,Battery,Display
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹12,999",4.4,13% off,"95,203 Ratings",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499",4.4,27% off,"52,124 Ratings",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹11,499",4.4,25% off,"76,754 Ratings",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"POCO C61  - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)","₹5,399",4.1,40% off,"72,282 Ratings",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",4.3,15% off,"25,202 Ratings",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","₹10,999",4.3,15% off,"25,202 Ratings",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999",4.5,10% off,"1,09,413 Ratings",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499",4.2,35% off,"30,419 Ratings",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","₹12,999",4.4,13% off,"95,203 Ratings",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999",4.5,10% off,"1,09,413 Ratings",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999",4.5,11% off,"95,625 Ratings",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999",4.5,11% off,"95,625 Ratings",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)","₹12,999",4.4,13% off,"95,203 Ratings",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹14,999",4.4,25% off,"60,996 Ratings",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
